lambdap,lambdad,lambdaf,ARP,AGD,ILS,IPE,HR,NDCG,
10,100,10000,0.030016403,0.035788022,0.937211057,0.889486753,0.848039166,0.557844105,
10,100,100000,0.02133777,0.051617344,0.93249801,0.892125798,0.873093765,0.546663728,
10,100,1000000,0.234701142,0.099334708,0.963766879,0.977088209,0.894335404,0.543842929,
10,100,10000000,0.365449175,0.202339962,0.897730195,0.864690017,0.893518548,0.557664636,
100,0,0,0.469746994,0.671943103,0.276700869,0.142416682,0.978758168,0.891139476,
100,0,10,0.468609823,0.673548933,0.286474043,0.162138827,0.975490155,0.887635204,
100,0,100,0.47933105,0.669190126,0.336278093,0.271025806,0.9757625,0.883479671,
100,0,1000,0.508232666,0.657719669,0.584533055,0.675441818,0.970588276,0.791613562,
100,0,10000,0.555450153,0.620096427,0.712784463,0.862743079,0.910675472,0.593174282,
100,0,100000,0.642267736,0.710025297,0.784580863,0.845641641,0.730119872,0.306350371,
100,0,1000000,0.864754764,0.773342489,0.790807145,0.723283712,0.23093685,0.053543989,
100,0,10000000,0.986545803,0.689607673,0.685134128,0.514666169,0.018246176,0.005256772,
100,0.0001,0,0.452633303,0.659784335,0.375100969,0.248701031,0.969771163,0.901241566,
100,0.0001,10,0.452582259,0.663454965,0.3776609,0.24812781,0.977668749,0.899044243,
100,0.0001,100,0.460755134,0.666437283,0.41458182,0.357272224,0.977668916,0.902091724,
100,0.0001,1000,0.499404767,0.651984392,0.613971789,0.719724643,0.97222227,0.806370318,
100,0.0001,10000,0.547853825,0.615508144,0.720302667,0.856264953,0.909041401,0.598476754,
100,0.0001,100000,0.627826527,0.707960574,0.776339011,0.851215895,0.76416122,0.326353157,
100,0.0001,1000000,0.829531018,0.845606751,0.806495437,0.775587775,0.266884524,0.07086768,
100,0.0001,10000000,0.974714322,0.756825067,0.682024005,0.530404471,0.028594753,0.008158452,
100,0.001,0,0.403730988,0.595319957,0.549848978,0.44886999,0.976851881,0.917123027,
100,0.001,10,0.405961881,0.59876115,0.555441256,0.465113395,0.979302923,0.920590184,
100,0.001,100,0.413622811,0.601972963,0.575615293,0.539454766,0.973856084,0.90007694,
100,0.001,1000,0.464550205,0.582014194,0.711456726,0.830976651,0.961056554,0.790457321,
100,0.001,10000,0.525089042,0.549896753,0.756188888,0.875613562,0.90740733,0.592084213,
100,0.001,100000,0.599149038,0.671713647,0.793528496,0.868356832,0.786764713,0.360664323,
100,0.001,1000000,0.780439656,0.789171772,0.822751913,0.812598447,0.365740735,0.098991504,
100,0.001,10000000,0.939968254,0.851112668,0.762983348,0.68367568,0.099673182,0.02113795,
100,0.01,0,0.31041685,0.439779772,0.76295944,0.692105757,0.984477211,0.957166129,
100,0.01,10,0.309165808,0.442303293,0.769083996,0.709154756,0.98910672,0.947892052,
100,0.01,100,0.326301745,0.440697464,0.78700921,0.782744384,0.979030642,0.913738164,
100,0.01,1000,0.386417032,0.423721052,0.834444867,0.935777566,0.964869297,0.786312537,
100,0.01,10000,0.472078611,0.426244553,0.806417688,0.858073555,0.912854105,0.603406825,
100,0.01,100000,0.528779385,0.538655695,0.804431976,0.869372179,0.840958705,0.432536254,
100,0.01,1000000,0.694157238,0.650607865,0.798744014,0.797713122,0.557461858,0.167340621,
100,0.01,10000000,0.848334859,0.749483826,0.795980757,0.753970102,0.228213462,0.052961082,
100,0.1,0,0.203326377,0.253957317,0.895804307,0.849771703,0.980936866,0.931177146,
100,0.1,10,0.197106381,0.247533806,0.896994539,0.86558455,0.978213478,0.922790873,
100,0.1,100,0.222810446,0.254186754,0.913328792,0.927529694,0.968137182,0.883161925,
100,0.1,1000,0.269949456,0.256480838,0.919249989,0.974498261,0.959967379,0.788105214,
100,0.1,10000,0.392644262,0.264510198,0.879147102,0.88435107,0.911219983,0.599332109,
100,0.1,100000,0.428506837,0.364762571,0.841334972,0.841552536,0.893246152,0.527155572,
100,0.1,1000000,0.539648376,0.525120456,0.823732783,0.885342254,0.79330074,0.35921886,
100,0.1,10000000,0.703336215,0.622161054,0.798325349,0.775287498,0.456426975,0.127971867,
100,1,0,0.126535053,0.094975901,0.966446347,0.969149483,0.944989165,0.77577276,
100,1,10,0.133273681,0.095205327,0.964705878,0.977141162,0.947440092,0.774434394,
100,1,100,0.137880458,0.098417055,0.957163805,0.968757911,0.942810404,0.763544331,
100,1,1000,0.131620836,0.102087639,0.953910118,0.943509195,0.954248387,0.731964214,
100,1,10000,0.228066468,0.124111043,0.95673316,0.981863338,0.919117659,0.582842055,
100,1,100000,0.360925789,0.215186965,0.896372503,0.866838225,0.899237489,0.574549119,
100,1,1000000,0.432045548,0.348474413,0.847973934,0.848532723,0.885893218,0.507796679,
